Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
79545.459,5.683,7.009,4.09,23086.801,1059033.558,"208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101"
79248.642,6.003,6.731,3.09,40173.072,1505890.915,"188 Johnson Views Suite 079
Lake Kathleen, CA 48958"
61287.067,5.866,8.513,5.13,36882.159,1058987.988,"9127 Elizabeth Stravenue
Danieltown, WI 06482-3489"
63345.24,7.188,5.587,3.26,34310.243,1260616.807,"USS Barnett
FPO AP 44820"
59982.197,5.041,7.839,4.23,26354.109,630943.4893,"USNS Raymond
FPO AE 09386"
80175.754,4.988,6.105,4.04,26748.428,1068138.074,"06039 Jennifer Islands Apt. 443
Tracyport, KS 16077"
64698.463,6.025,8.148,3.41,60828.249,1502055.817,"4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247"
78394.339,6.99,6.62,2.42,36516.359,1573936.564,"972 Joyce Viaduct
Lake William, TN 17778-6483"
59927.661,5.362,6.393,2.3,29387.396,798869.5328,"USS Gilbert
FPO AA 20957"
81885.927,4.424,8.168,6.1,40149.966,1545154.813,"Unit 9446 Box 0958
DPO AE 97025"
80527.472,8.094,5.043,4.1,47224.36,1707045.722,"6368 John Motorway Suite 700
Janetbury, NM 26854"
50593.696,4.497,7.468,4.49,34343.992,663732.3969,"911 Castillo Park Apt. 717
Davisborough, PW 78603"
39033.809,7.672,7.25,3.1,39220.361,1042814.098,"209 Natasha Stream Suite 961
Huffmanland, NE 52457"
73163.663,6.92,5.993,2.27,32326.123,1291331.518,"829 Welch Track Apt. 992
North John, AR 26532-5136"
69391.38,5.345,8.406,4.37,35521.294,1402818.21,"PSC 5330, Box 4420
APO AP 08302"
73091.867,5.443,8.518,4.01,23929.524,1306674.66,"2278 Shannon View
North Carriemouth, NM 84617"
79706.963,5.068,8.22,3.12,39717.814,1556786.6,"064 Hayley Unions
Nicholsborough, HI 44161-1887"
61929.077,4.789,5.097,4.3,24595.901,528485.2467,"5498 Rachel Locks
New Gregoryshire, PW 54755"
63508.194,5.947,7.188,5.12,35719.653,1019425.937,"Unit 7424 Box 2786
DPO AE 71255"
62085.276,5.739,7.092,5.49,44922.107,1030591.429,"19696 Benjamin Cape
Stephentown, ME 36952-4733"
86294.999,6.627,8.012,4.07,47560.775,2146925.34,"030 Larry Park Suite 665
Thomashaven, HI 87941-5197"
60835.09,5.551,6.517,2.1,45574.742,929247.5995,"USNS Brown
FPO AP 85833"
64490.65,4.21,5.478,4.31,40358.96,718887.2315,"95198 Ortiz Key
Port Sara, TN 24541-2855"
60697.352,6.17,7.151,6.34,28140.967,743999.8192,"9003 Jay Plains Suite 838
Lake Elizabeth, IN 90622-0804"
59748.855,5.339,7.749,4.23,27809.987,895737.1334,"24282 Paul Valley
West Perry, MI 03169-5806"
56974.477,8.288,7.313,4.33,40694.87,1453974.506,"61938 Brady Falls
Lewisfort, DE 61227"
82173.626,4.019,6.993,2.03,38853.918,1125692.507,"3599 Ramirez Springs
Jacksonhaven, AZ 72798"
64626.881,5.443,6.989,4,27784.742,975429.4928,"073 Christopher Falls Suite 882
West Cynthia, MA 89075-2814"
90499.057,6.384,4.242,3.04,33970.165,1240763.766,"6531 Chase Prairie Apt. 245
Susanshire, MN 22365"
59323.792,6.978,8.274,4.07,37520.658,1577017.76,"17124 Johnson Squares
Lake Robertfurt, AL 61811-3832"
77811.522,5.314,6.687,3.24,33754.738,1246830.188,"1359 Mitchell Vista
Courtneyfort, NY 93065-7224"
68652.609,6.124,6.291,4.42,39355.626,1170720.894,"4343 Joshua Lake Suite 096
Pierceview, NV 62614-9110"
55041.352,7.127,8.592,5.36,30122.473,1071279.21,"0057 Jacob Coves Apt. 932
Lake Emily, VA 39465-6041"
50218.708,6.119,7.334,6.29,16810.783,534305.1323,"039 Jordan Pike
Emilyville, ID 27442"
55909.322,5.42,9.29,6,22355.235,936368.9634,"66338 Novak Curve Suite 628
Taylorborough, OK 87142-6766"
74372.81,5.5,6.593,2.07,39395.151,1199193.831,"7167 Angela Park Suite 013
Morrishaven, NH 66937-4811"
78667.905,5.471,7.781,4.1,27637.657,1233220.009,"34964 Sara Fields Apt. 584
Port Raymondville, MO 63585"
78699.515,5.653,6.756,3.01,22836.608,1081150.125,"7585 Lynn Loop
East Judy, WV 73336"
53128.185,5.181,5.427,2.39,32947.712,524712.7661,"Unit 1388 Box 9350
DPO AP 70848"
17796.631,4.95,6.714,2.5,47162.184,302355.836,"9932 Eric Circles
Lake Martha, WY 34611-6127"
58566.849,6.58,5.035,2.17,39705.465,1026817.4,"7896 Walker Spring
Loriport, MH 72956"
75537.795,7.845,7.556,6.3,32778.195,1762214.68,"549 Darren Plaza
Lake Kevin, UT 27155"
46147.053,6.623,7.607,4.43,27161.129,882057.1706,"90634 Michelle Valleys
North Victoria, WV 99370"
70421.476,6.907,7.634,4.44,43183.928,1744932.211,"580 Lara Neck Apt. 541
Davidsonstad, ID 34638-9802"
62614.421,5.499,7.441,6.32,26888.58,1153871.47,"43087 Jerome Field
West Deborah, SD 49213"
66394.872,7.07,7.205,3.18,39741.078,1499988.88,"71956 Jenkins Fall
Brooketown, PW 67485-0764"
73946.851,4.863,7.537,6.35,35261.127,1109588.38,"8034 Pierce Prairie Suite 727
Devonfurt, NE 33104-8027"
69144.746,7.296,5.928,3.22,19030.615,980177.3051,"Unit 8108 Box 5159
DPO AP 04678"
77278.697,6.239,6.919,2.13,21725.954,1323952.027,"08639 Garcia Port
Anthonybury, CT 17971"
86754.197,6.604,6.252,4.02,43017.441,1662494.736,"91863 Curtis Point
New Richard, AK 99996-7554"
74399.841,6.382,7.253,6.36,41084.663,1417819.74,"03819 Lee Junction Suite 046
Mooneyborough, WA 19656"
49408.198,5.826,5.832,3.32,26881.131,549976.1456,"7796 Joseph Burg
Danielsside, RI 70370"
62279.79,6.108,6.306,4.12,35263.653,1054770.981,"173 Mendoza Land
West John, NJ 57690"
73078.204,5.924,6.445,3.32,54915.962,1415647.553,"3288 Lee Pass
South Julieton, PW 02759-4964"
72942.705,4.786,7.32,6.41,24377.909,948788.2757,"86908 Marshall Port Suite 252
Scotttown, NM 69143"
63819.623,5.95,8.022,4.09,27825.572,1159596.519,"951 Bryant Dale Suite 735
Lake Jacqueline, NH 95266"
73265.45,8.315,7.426,3.24,21030.966,1547133.396,"00301 Bradshaw Avenue Suite 833
Suzannefurt, IN 00654-8754"
68488.131,6.116,7.183,5.08,18267.955,1186688.506,"84473 Ochoa Pines Apt. 808
Jamesport, KY 70207-2955"
55193.857,7.186,5.097,4.01,32537.819,772111.9721,"13706 Morgan Turnpike Suite 378
Hohaven, NC 42699"
77434.689,6.309,5.22,3.06,36252.341,1172730.156,"4872 Delgado Ramp
North James, IA 36544"
66158.882,4.476,6.912,2.28,37098.742,1111085.017,"73202 Christopher Tunnel
New Roberttown, MN 08925-1536"
60502.909,7.533,5.732,4.23,33579.632,1022781.171,"8781 Olivia Port Apt. 225
Thompsonside, VT 22884"
60910.894,5.635,7.326,4.2,43347.804,1274474.546,"PSC 9354, Box 0703
APO AA 58696-1278"
73931.979,6.394,4.581,4.32,36543.067,1213530.85,"271 Johnson Hills Apt. 001
Mcculloughfurt, FM 70847"
59539.948,6.019,7.008,5.43,58600.827,1411730.477,"122 Russo Neck
South Kevin, KY 20712-5282"
